Performance Date,Return,Status,Fund Long Name
1995-12-31,0.0131,Final,HFRI ED: Merger Arbitrage Index
1995-11-30,0.0213,Final,HFRI ED: Merger Arbitrage Index
1995-10-31,0.0091,Final,HFRI ED: Merger Arbitrage Index
1995-09-30,0.0163,Final,HFRI ED: Merger Arbitrage Index
1995-08-31,0.0135,Final,HFRI ED: Merger Arbitrage Index
1995-07-31,0.0135,Final,HFRI ED: Merger Arbitrage Index
1995-06-30,0.0247,Final,HFRI ED: Merger Arbitrage Index
1995-05-31,0.0126,Final,HFRI ED: Merger Arbitrage Index
1995-04-30,0.0035,Final,HFRI ED: Merger Arbitrage Index
1995-03-31,0.0149,Final,HFRI ED: Merger Arbitrage Index
1995-02-28,0.0145,Final,HFRI ED: Merger Arbitrage Index
1995-01-31,0.0086,Final,HFRI ED: Merger Arbitrage Index
1994-12-31,0.0148,Final,HFRI ED: Merger Arbitrage Index
1994-11-30,-0.0022,Final,HFRI ED: Merger Arbitrage Index
1994-10-31,-0.0026,Final,HFRI ED: Merger Arbitrage Index
1994-09-30,0.0059,Final,HFRI ED: Merger Arbitrage Index
1994-08-31,0.0199,Final,HFRI ED: Merger Arbitrage Index
1994-07-31,0.0068,Final,HFRI ED: Merger Arbitrage Index
1994-06-30,0.0089,Final,HFRI ED: Merger Arbitrage Index
1994-05-31,0.0122,Final,HFRI ED: Merger Arbitrage Index
1994-04-30,-0.0025,Final,HFRI ED: Merger Arbitrage Index
1994-03-31,0.0137,Final,HFRI ED: Merger Arbitrage Index
1994-02-28,-0.0041,Final,HFRI ED: Merger Arbitrage Index
1994-01-31,0.015,Final,HFRI ED: Merger Arbitrage Index
1993-12-31,0.0165,Final,HFRI ED: Merger Arbitrage Index
1993-11-30,0.0086,Final,HFRI ED: Merger Arbitrage Index
1993-10-31,0.0205,Final,HFRI ED: Merger Arbitrage Index
1993-09-30,0.0185,Final,HFRI ED: Merger Arbitrage Index
1993-08-31,0.0167,Final,HFRI ED: Merger Arbitrage Index
1993-07-31,0.0154,Final,HFRI ED: Merger Arbitrage Index
1993-06-30,0.0225,Final,HFRI ED: Merger Arbitrage Index
1993-05-31,0.0117,Final,HFRI ED: Merger Arbitrage Index
1993-04-30,0.013,Final,HFRI ED: Merger Arbitrage Index
1993-03-31,0.0049,Final,HFRI ED: Merger Arbitrage Index
1993-02-28,0.0164,Final,HFRI ED: Merger Arbitrage Index
1993-01-31,0.0212,Final,HFRI ED: Merger Arbitrage Index
1992-12-31,0.0191,Final,HFRI ED: Merger Arbitrage Index
